V,Cr,Ti,W,Zr,dose_d30,dose_d365,dose_d1825,dose_d36500,He_2y,H_2y,dose_d30_pass,dose_d365_pass,dose_d1825_pass,dose_d36500_pass,He_2y_pass,H_2y_pass,all_pass
0.882,0.029,0.06,0.029,0.0,1.2864947002487714,0.06237630150344132,1.8482027925352535e-05,1.6707993994647636e-06,262.90454855888214,701.6711600847303,True,True,True,True,True,True,True
0.806,0.075,0.036000000000000004,0.053,0.03,920.3607999696878,0.10778144593873,1.7182678855089742e-05,9.228278662166119e-07,259.6787252255432,716.8679167906324,True,True,True,True,True,True,True
0.858,0.012,0.081,0.002,0.047,1639.2534727637224,0.08243566597424047,1.8299696974449e-05,2.343923524288871e-06,266.8133136737341,709.4696211964894,False,True,True,True,True,True,False
0.855,0.033,0.07200000000000001,0.019,0.021,711.6051045608127,0.0745585754550292,1.929847538503873e-05,2.0271401118181597e-06,267.5591353599695,719.2465164384834,True,True,True,True,True,True,True
0.8049999999999999,0.08600000000000001,0.052000000000000005,0.043000000000000003,0.014,446.36265688572956,0.08868028715199286,1.891668525743361e-05,1.3799920126532387e-06,269.8756398933145,750.0971772685104,True,True,True,True,True,True,True
0.976,0.012,0.003,0.008,0.001,35.736403925154306,0.014313629383544715,2.49519923554205e-06,9.188881269900505e-08,248.9909848941456,648.3272651756305,True,True,True,True,True,True,True
0.91,0.017,0.023,0.003,0.047,1629.8429878068018,0.06210730132668177,6.026390757863803e-06,6.645194508545742e-07,252.85125847781114,667.5872870135045,False,True,True,True,True,True,False
0.891,0.037,0.033,0.0,0.039,1371.9295972799089,0.05377232437380865,7.550995434486465e-06,9.650981798736503e-07,261.3944605529749,701.1344236836884,False,True,True,True,True,True,False
0.9259999999999999,0.003,0.045,0.024,0.002,68.73813524691614,0.052693819766262195,1.4517936957531947e-05,1.2693738020358987e-06,253.96377445576155,662.6520126897965,True,True,True,True,True,True,True
0.847,0.041,0.07,0.0,0.042,1476.420125801217,0.07070707045177133,1.5592475411487855e-05,2.041429559112739e-06,271.5997804986664,735.2869353039074,False,True,True,True,True,True,False
0.877,0.0,0.042,0.039,0.042,1327.86265682808,0.10595073648684257,1.6175350426895282e-05,1.1081765433237474e-06,245.96689489044775,643.2263161477025,False,True,True,True,True,True,False
0.8059999999999999,0.019,0.07,0.063,0.042,1250.7666847873422,0.13846760467192806,2.479627199622296e-05,1.741720553310251e-06,252.13668108492894,673.4786762357777,False,True,True,True,True,True,False
0.8069999999999999,0.007,0.063,0.1,0.023,636.5531571731916,0.1536515734734074,2.7946665133195998e-05,1.459657914552293e-06,240.59784713339573,634.840592156353,True,True,True,True,True,True,True
0.814,0.004,0.068,0.08600000000000001,0.028,797.4453661180871,0.14725121137341754,2.7249534470989025e-05,1.6202948596734823e-06,243.98123683545913,643.0604560978755,True,True,True,True,True,True,True
0.833,0.009000000000000001,0.135,0.008,0.015,529.1018709185983,0.07838908925979432,3.127038804306194e-05,3.944841274996918e-06,281.11328014956484,750.1500853516537,True,True,True,True,True,True,True
0.8079999999999999,0.008,0.07100000000000001,0.101,0.012,334.8144193168921,0.14884028723383838,2.9561532189093704e-05,1.6524779175507627e-06,243.51602657612162,643.199021071351,True,True,True,True,True,True,True
0.8109999999999999,0.021,0.136,0.006,0.026000000000000002,913.4155945339678,0.08717994369769937,3.104529246402353e-05,3.960765959912264e-06,283.76735476904753,764.4369068512954,True,True,True,True,True,True,True
0.8029999999999999,0.155,0.02,0.007,0.015,524.2018440691872,0.033695521233822245,6.210777775059956e-06,5.822005841056282e-07,285.86741184789196,823.4881892516263,True,True,True,True,True,True,True
0.822,0.004,0.066,0.073,0.035,1022.6948593239177,0.14071964517974977,2.5343861381125293e-05,1.612590239964324e-06,245.87663553085534,648.1903275272844,False,True,True,True,True,True,False
0.803,0.011,0.091,0.063,0.032,960.732845749726,0.13725597743634585,2.881665932705747e-05,2.280663497383681e-06,256.44232936223557,682.602821292095,True,True,True,True,True,True,True
0.819,0.007,0.004,0.157,0.013000000000000001,321.08908366697915,0.1728816478399307,2.4330027918926833e-05,8.490473653524207e-08,213.24664939114808,554.9316617821219,True,True,True,True,True,True,True
0.8029999999999999,0.004,0.135,0.025,0.033,1094.2879347994617,0.11536735328704792,3.307704655907284e-05,3.7203518607480036e-06,274.6781943115969,732.3678603662877,False,True,True,True,True,True,False
0.802,0.145,0.009000000000000001,0.036000000000000004,0.008,260.2106140244964,0.06026305567272868,9.292015381706824e-06,2.4557497290635657e-07,274.65747956861503,787.1245900080197,True,True,True,True,True,True,True
0.806,0.009000000000000001,0.078,0.07,0.037,1087.7870551218937,0.14338131399138768,2.7159129133478896e-05,1.9165389569295247e-06,250.6543875798433,665.1063633001688,False,True,True,True,True,True,False
0.8059999999999999,0.016,0.136,0.015,0.027,924.202233452993,0.09892869369302713,3.219238810323382e-05,3.863199921207536e-06,280.47717164180796,753.378530458868,True,True,True,True,True,True,True
