nuclides,reactions,groups,xs
Ac235,"(n,4n)",1,0.0
Ac235,"(n,t)",1,0.0
Ac235,fission,1,0.0
Ac236,"(n,2n)",1,0.0
Ac236,"(n,d)",1,0.0
Ac236,"(n,a)",1,0.0
Ac236,"(n,p)",1,0.0
Ac236,"(n,3n)",1,0.0
Ac236,"(n,gamma)",1,116.4
Ac236,"(n,4n)",1,0.0
Ac236,"(n,t)",1,0.0
Ac236,fission,1,0.0
Ac237,"(n,2n)",1,0.0
Ac237,"(n,d)",1,0.0
Ac237,"(n,a)",1,6.851e-05
Ac237,"(n,p)",1,0.0
Ac237,"(n,3n)",1,0.0
Ac237,"(n,gamma)",1,12.39
Ac237,"(n,4n)",1,0.0
Ac237,"(n,t)",1,0.0
Ac237,fission,1,0.0
Ag100,"(n,2n)",1,0.0
Ag100,"(n,d)",1,0.0
Ag100,"(n,a)",1,0.0
Ag100,"(n,p)",1,150.8
Ag100,"(n,3n)",1,0.0
Ag100,"(n,gamma)",1,0.09087
Ag100,"(n,4n)",1,0.0
Ag100,"(n,t)",1,0.0
Ag100,fission,1,0.0
Ag101,"(n,2n)",1,0.0
Ag101,"(n,d)",1,0.0
Ag101,"(n,a)",1,0.0
Ag101,"(n,p)",1,19.62
Ag101,"(n,3n)",1,0.0
Ag101,"(n,gamma)",1,0.0164
Ag101,"(n,4n)",1,0.0
Ag101,"(n,t)",1,0.0
Ag101,fission,1,0.0
Ag102,"(n,2n)",1,0.0
Ag102,"(n,d)",1,0.0
Ag102,"(n,a)",1,0.0
Ag102,"(n,p)",1,13.89
Ag102,"(n,3n)",1,0.0
Ag102,"(n,gamma)",1,5.156
Ag102,"(n,4n)",1,0.0
Ag102,"(n,t)",1,0.0
Ag102,fission,1,0.0
Ag103,"(n,2n)",1,0.0
Ag103,"(n,d)",1,0.0
Ag103,"(n,a)",1,1.563e-05
Ag103,"(n,p)",1,0.4471
Ag103,"(n,3n)",1,0.0
Ag103,"(n,gamma)",1,0.0282
Ag103,"(n,4n)",1,0.0
Ag103,"(n,t)",1,0.0
Ag103,fission,1,0.0
Ag104,"(n,2n)",1,0.0
Ag104,"(n,d)",1,0.0
Ag104,"(n,a)",1,0.001557
Ag104,"(n,p)",1,1.369
Ag104,"(n,3n)",1,0.0
Ag104,"(n,gamma)",1,0.1818
Ag104,"(n,4n)",1,0.0
Ag104,"(n,t)",1,0.0
Ag104,fission,1,0.0
Ag105,"(n,2n)",1,0.0
Ag105,"(n,d)",1,0.0
Ag105,"(n,a)",1,1.844e-09
Ag105,"(n,p)",1,0.0005605
Ag105,"(n,3n)",1,0.0
Ag105,"(n,gamma)",1,0.06067
Ag105,"(n,4n)",1,0.0
Ag105,"(n,t)",1,0.0
Ag105,fission,1,0.0
Ag106,"(n,2n)",1,0.0
Ag106,"(n,d)",1,0.0
Ag106,"(n,a)",1,4.524e-05
Ag106,"(n,p)",1,0.3981
Ag106,"(n,3n)",1,0.0
Ag106,"(n,gamma)",1,28.98
Ag106,"(n,4n)",1,0.0
Ag106,"(n,t)",1,0.0
Ag106,fission,1,0.0
Ag107,"(n,2n)",1,0.0
Ag107,"(n,d)",1,0.0
Ag107,"(n,a)",1,1.652e-12
Ag107,"(n,p)",1,0.0
Ag107,"(n,3n)",1,0.0
Ag107,"(n,gamma)",1,10.95
Ag107,"(n,4n)",1,0.0
Ag107,"(n,t)",1,0.0
Ag107,fission,1,0.0
Ag108,"(n,2n)",1,0.0
Ag108,"(n,d)",1,0.0
Ag108,"(n,a)",1,9.852e-07
Ag108,"(n,p)",1,0.0191
Ag108,"(n,3n)",1,0.0
Ag108,"(n,gamma)",1,13.41
Ag108,"(n,4n)",1,0.0
Ag108,"(n,t)",1,0.0
Ag108,fission,1,0.0
Ag109,"(n,2n)",1,0.0
Ag109,"(n,d)",1,0.0
Ag109,"(n,a)",1,0.0
Ag109,"(n,p)",1,0.0
Ag109,"(n,3n)",1,0.0
Ag109,"(n,gamma)",1,358.5
Ag109,"(n,4n)",1,0.0
Ag109,"(n,t)",1,0.0
Ag109,fission,1,0.0
Ag110,"(n,2n)",1,0.0
Ag110,"(n,d)",1,0.0
Ag110,"(n,a)",1,1.896e-08
Ag110,"(n,p)",1,1.541e-05
Ag110,"(n,3n)",1,0.0
Ag110,"(n,gamma)",1,82.29
Ag110,"(n,4n)",1,0.0
Ag110,"(n,t)",1,0.0
Ag110,fission,1,0.0
