V,Cr,Ti,W,Zr,x_V,x_Cr,x_Ti,x_W,x_Zr,phase_count,dominant_phase,single_phase,phases,iter
0.967,0.007,0.007,0.011,0.008,0.967,0.007,0.007,0.011,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9943811676644575, ""FCC_L12#1"": 0.0006493132754970889, ""HCP_A3#1"": 0.00209171535389651, ""HCP_A3#2"": 0.0028778037061488685}",14
0.971,0.008,0.008,0.009000000000000001,0.004,0.971,0.008,0.008,0.009000000000000001,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.995786012868297, ""FCC_L12#1"": 0.0006222025095018409, ""HCP_A3#1"": 0.0010193695494700107, ""HCP_A3#2"": 0.002329409481655351, ""ZRO2_MONO#1"": 0.0002430055910759159}",14
0.803,0.10000000000000002,0.024000000000000004,0.06800000000000002,0.005000000000000001,0.803,0.10000000000000002,0.024000000000000004,0.06800000000000002,0.005000000000000001,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9899811977416916, ""C15_LAVES#1"": 0.0059661273622002775, ""FCC_L12#1"": 0.0007046885978923073, ""HCP_A3#2"": 0.002502477412326613, ""ZRO2_MONO#1"": 0.0008455088858893247}",14
0.954,0.005,0.004,0.024,0.013000000000000001,0.954,0.005,0.004,0.024,0.013000000000000001,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.984687697486794, ""C15_LAVES#1"": 0.008857245231065616, ""FCC_L12#1"": 0.0006803394075992842, ""HCP_A3#1"": 0.002446642166972937, ""HCP_A3#2"": 0.0033280757075683574}",14
0.955,0.004,0.013000000000000001,0.023,0.005,0.955,0.004,0.013000000000000001,0.023,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9950443664227286, ""FCC_L12#1"": 0.0006493074714817514, ""HCP_A3#1"": 0.0017966677490061683, ""HCP_A3#2"": 0.002509658356783578}",14
0.962,0.013000000000000001,0.015,0.005,0.005,0.962,0.013000000000000001,0.015,0.005,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9952798151996811, ""FCC_L12#1"": 0.0006211462246226395, ""HCP_A3#1"": 0.0016909746341906044, ""HCP_A3#2"": 0.0024080639415058345}",14
0.947,0.005,0.021,0.023,0.004,0.947,0.005,0.021,0.023,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9956928202756214, ""FCC_L12#1"": 0.0006439568401531106, ""HCP_A3#1"": 0.0009074922908727459, ""HCP_A3#2"": 0.0024156923422598213, ""ZRO2_MONO#1"": 0.00034003825109301343}",14
0.952,0.019,0.014,0.009000000000000001,0.006,0.952,0.019,0.014,0.009000000000000001,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949463278634387, ""FCC_L12#1"": 0.0006346410144608046, ""HCP_A3#1"": 0.002569548641991769, ""HCP_A3#2"": 0.0018494824801086219}",14
0.964,0.007,0.004,0.005,0.02,0.964,0.007,0.004,0.005,0.02,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9645740219509905, ""C15_LAVES#1"": 0.029205628129234874, ""FCC_L12#1"": 0.0006527148650193744, ""HCP_A3#1"": 0.003208626033896749, ""HCP_A3#2"": 0.002359009020858176}",14
0.957,0.008,0.008,0.01,0.017,0.957,0.008,0.008,0.01,0.017,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9728114007208015, ""C15_LAVES#1"": 0.020995091043687197, ""FCC_L12#1"": 0.0006585471689023733, ""HCP_A3#2"": 0.0023418264364315306, ""HCP_A3#3"": 0.0031931346301772136}",14
0.838,0.10200000000000001,0.011,0.045,0.004,0.838,0.10200000000000001,0.011,0.045,0.004,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9934360301710738, ""C15_LAVES#1"": 0.002672910900490879, ""FCC_L12#1"": 0.0006724947798392184, ""HCP_A3#2"": 0.002416302489311877, ""ZRO2_MONO#1"": 0.0008022616592844355}",14
0.949,0.015,0.022,0.008,0.006,0.949,0.015,0.022,0.008,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949722931882752, ""FCC_L12#1"": 0.000632432712523837, ""HCP_A3#1"": 0.0025598816540494972, ""HCP_A3#2"": 0.001835392445151768}",14
0.955,0.014,0.011,0.007,0.013000000000000001,0.955,0.014,0.011,0.007,0.013000000000000001,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9823403440763518, ""C15_LAVES#1"": 0.011829107266158783, ""FCC_L12#1"": 0.0006484778659901477, ""HCP_A3#1"": 0.0021849468531036725, ""HCP_A3#2"": 0.0029971239383954937}",14
0.963,0.009000000000000001,0.004,0.007,0.017,0.963,0.009000000000000001,0.004,0.007,0.017,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9723392835319116, ""C15_LAVES#1"": 0.021560409578621837, ""FCC_L12#1"": 0.0006533799582700553, ""HCP_A3#1"": 0.0031425734878899316, ""HCP_A3#2"": 0.0023043534433065996}",14
0.954,0.021,0.014,0.007,0.004,0.954,0.021,0.014,0.007,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958313610762709, ""FCC_L12#1"": 0.000619053287090407, ""HCP_A3#1"": 0.0009512523874422433, ""HCP_A3#2"": 0.002320121191826315, ""ZRO2_MONO#1"": 0.0002782120573702844}",14
0.974,0.005,0.004,0.004,0.013000000000000001,0.974,0.005,0.004,0.004,0.013000000000000001,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9864390071668436, ""C15_LAVES#1"": 0.007327660305549371, ""FCC_L12#1"": 0.0006479989133552194, ""HCP_A3#1"": 0.003217082176625962, ""HCP_A3#2"": 0.002368251437625834}",14
0.951,0.005,0.034,0.004,0.006,0.951,0.005,0.034,0.004,0.006,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9950486010488476, ""FCC_L12#1"": 0.0006252461461640985, ""HCP_A3#1"": 0.0017932655573714225, ""HCP_A3#2"": 0.0025328872476167745}",14
0.96,0.004,0.012,0.006,0.018000000000000002,0.96,0.004,0.012,0.006,0.018000000000000002,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9726262392892343, ""C15_LAVES#1"": 0.020960025585447743, ""FCC_L12#1"": 0.0006542630612736292, ""HCP_A3#1"": 0.002443354829834247, ""HCP_A3#2"": 0.0033161172342104656}",14
0.97,0.007,0.004,0.007,0.012,0.97,0.007,0.004,0.007,0.012,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9880026784988977, ""C15_LAVES#1"": 0.0058668611550647355, ""FCC_L12#1"": 0.0006513300328243289, ""HCP_A3#2"": 0.0031597609070264415, ""HCP_A3#3"": 0.0023193694061869508}",14
